Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
19.892177,140.49435,0.0,1.0,98,17.2992,3.4577517,0,8249,13.841445,140494.37,19.892177,3.457754999999999,175.57109
19.893204,140.51424,0.0,1.0,98,17.2992,3.4542638,0,8250,13.844933,140514.26,19.893204,3.454267,175.57109
19.895037,140.53413,0.0,1.0,98,17.2992,3.4508538,0,8251,13.848343,140534.15,19.895037,3.450856999999999,175.57109
19.897672,140.55403,0.0,1.0,98,17.2992,3.4475493,0,8252,13.851647,140554.05,19.897672,3.447552999999999,175.57109
19.901078,140.57393,0.0,1.0,98,17.2992,3.4443793,0,8253,13.854818,140573.95,19.901078,3.444381999999999,175.57109
19.905341,140.59383,0.0,1.0,98,17.2992,3.4413755,0,8254,13.857822,140593.85,19.905341,3.4413779999999985,175.57109
19.910371,140.61374,0.0,1.0,98,17.2992,3.4385718,0,8255,13.860625,140613.76,19.910371,3.4385749999999984,175.57109
19.915391,140.63365,0.0,1.0,98,17.2992,3.4359871,0,8256,13.86321,140633.67,19.915391,3.4359899999999985,175.57109
19.91973,140.65357,0.0,1.0,98,17.2992,3.4335985,0,8257,13.865599,140653.59,19.91973,3.4336009999999995,175.57109
19.923574,140.67349,0.0,1.0,98,17.2992,3.4313934,0,8258,13.867804,140673.51,19.923574,3.4313959999999994,175.57109
19.926788,140.69342,0.0,1.0,98,17.2992,3.429364,0,8259,13.869834,140693.44,19.926788,3.429365999999998,175.57109
19.929476,140.71335,0.0,1.0,98,17.2992,3.4274981,0,8260,13.8717,140713.37,19.929476,3.4274999999999984,175.57109
19.932363,140.73328,0.0,1.0,98,17.2992,3.4257898,0,8261,13.873409,140733.3,19.932363,3.4257909999999985,175.57109
19.936023,140.75321,0.0,1.0,98,17.2992,3.4242331,0,8262,13.874965,140753.23,19.936023,3.4242349999999995,175.57109
19.945683,140.77315,0.0,1.0,98,17.2992,3.4229288,0,8263,13.87627,140773.17,19.945683,3.422929999999999,175.57109
19.960941,140.79311,0.0,1.0,98,17.2992,3.4220306,0,8264,13.877169,140793.13,19.960941,3.4220309999999987,175.57109
19.974027,140.81307,0.0,1.0,98,17.2992,3.4214509,0,8265,13.877749,140813.09,19.974027,3.421451,175.57109
19.985167,140.83305,0.0,1.0,98,17.2992,3.421145,0,8266,13.878055,140833.07,19.985167,3.421144999999999,175.57109
19.994777,140.85304,0.0,1.0,98,17.2992,3.4210842,0,8267,13.878116,140853.06,19.994777,3.4210839999999987,175.57109
20.003166,140.87304,0.0,1.0,98,17.2992,3.4212505,0,8268,13.87795,140873.06,20.003166,3.421249999999999,175.57109
20.021855,140.89305,0.0,1.0,98,17.2992,3.421331,0,8269,13.877869,140893.07,20.021855,3.4213309999999986,175.57109
20.084848,140.9131,0.0,1.0,98,17.2992,3.4213173,0,8270,13.877883,140913.12,20.084848,3.4213169999999984,175.57109
20.178229,140.93323,0.0,1.0,98,17.2992,3.4212912,0,8271,13.877909,140933.25,20.178229,3.4212909999999983,175.57109
20.30021,140.95347,0.0,1.0,98,17.2992,3.4212557,0,8272,13.877944,140953.49,20.30021,3.421256,175.57109
20.443937,140.97384,0.0,1.0,98,17.2992,3.4212145,0,8273,13.877985,140973.86,20.443937,3.4212149999999983,175.57109
20.59881,140.99436,0.0,1.0,98,17.2992,3.4211694,0,8274,13.878031,140994.38,20.59881,3.421168999999999,175.57109
20.753492,141.01504,0.0,0.97186068,98,17.2992,3.4211217,0,8275,13.878078,141015.06,20.753492,3.4211219999999987,175.57109
20.895581,141.03586,0.0,0.60502591,98,17.2992,3.4210722,0,8276,13.878128,141035.88,20.895581,3.421071999999999,175.57109
