Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
0.0,0.0,0.0,0.0,-2147483648,17.2992,17.2992,0,0,0.0,0.0,0.0,17.2992,176.58699
2.0121809,0.000686593,0.0,0.35682424,17063,17.2992,17.287445,0,1,0.011735084,0.6886054,2.0121809,17.287464915999998,176.58699
5.0127387,0.004198044,0.0,0.35654438,7979,17.2992,17.265655,0,2,0.033520645,4.203057,5.0127387,17.265679355,176.58699
7.8875843,0.010692894,0.0,0.29149244,4621,17.2992,17.249794,0,3,0.049409694,10.700782,7.8875843,17.249790305999998,176.58699
9.5566869,0.01951481,0.0,0.17310666,2193,17.2992,17.256401,0,4,0.042806427,19.524367,9.5566869,17.256393573,176.58699
10.361631,0.029521889,0.0,0.11624758,1235,17.2992,17.262726,0,5,0.03647933,29.53225,10.361631,17.26272067,176.58699
10.750878,0.040101348,0.0,0.088826156,804,17.2992,17.26695,0,6,0.032253355,40.112099,10.750878,17.266946644999997,176.58699
10.93828,0.050957214,0.0,0.075631817,584,17.2992,17.269411,0,7,0.029791106,50.968152,10.93828,17.269408893999998,176.58699
11.027715,0.061945668,0.0,0.069363744,460,17.2992,17.270676,0,8,0.028525251,61.956696,11.027715,17.270674748999998,176.58699
11.07004,0.072997148,0.0,0.066428306,383,17.2992,17.271199,0,9,0.028001762,73.008218,11.07004,17.271198238,176.58699
11.089993,0.084078396,0.0,0.065045631,331,17.2992,17.271288,0,10,0.027911679,84.089486,11.089993,17.271288321,176.58699
11.099332,0.095173645,0.0,0.064397203,294,17.2992,17.271128,0,11,0.028071793,95.184745,11.099332,17.271128207,176.58699
11.103618,0.1062754,0.0,0.064112635,267,17.2992,17.270821,0,12,0.028378312,106.2865,11.103618,17.270821687999998,176.58699
11.105541,0.1173801,0.0,0.064004165,245,17.2992,17.27043,0,13,0.028769297,117.39121,11.105541,17.270430703,176.58699
11.106452,0.12848615,0.0,0.063955736,227,17.2992,17.269996,0,14,0.029203643,128.49726,11.106452,17.269996357,176.58699
11.106981,0.13959287,0.0,0.06390979,212,17.2992,17.269543,0,15,0.029656433,139.60398,11.106981,17.269543567,176.58699
11.107777,0.15070029,0.0,0.063722118,199,17.2992,17.269112,0,16,0.030087119,150.7114,11.107777,17.269112880999998,176.58699
11.108138,0.16180827,0.0,0.063597528,188,17.2992,17.268673,0,17,0.030526974,161.81938,11.108138,17.268673026,176.58699
11.108415,0.17291654,0.0,0.063492847,179,17.2992,17.26823,0,18,0.030969586,172.92765,11.108415,17.268230413999998,176.58699
11.108739,0.18402512,0.0,0.063379005,170,17.2992,17.267791,0,19,0.031408181,184.03622,11.108739,17.267791819,176.58699
11.109088,0.19513403,0.0,0.063263497,163,17.2992,17.267357,0,20,0.03184284,195.14514,11.109088,17.26735716,176.58699
11.109422,0.20624329,0.0,0.063159114,156,17.2992,17.266924,0,21,0.032275904,206.2544,11.109422,17.266924096,176.58699
11.109724,0.21735286,0.0,0.063072838,150,17.2992,17.26649,0,22,0.032709376,217.36397,11.109724,17.266490624,176.58699
11.109941,0.22846271,0.0,0.0630072,145,17.2992,17.266055,0,23,0.033144596,228.47382,11.109941,17.266055404,176.58699
11.109872,0.23957264,0.0,0.062988925,140,17.2992,17.265611,0,24,0.033588103,239.58375,11.109872,17.265611897,176.58699
11.108115,0.25068185,0.0,0.0632277,135,17.2992,17.265115,0,25,0.034084187,250.69296,11.108115,17.265115812999998,176.58699
11.097481,0.26178559,0.0,0.066777174,134,17.2992,17.263919,0,26,0.035280071,261.79668,11.097481,17.263919929,176.58699
11.113076,0.27288821,0.0,0.064316326,129,17.2992,17.263749,0,27,0.035450113,272.89932,11.113076,17.263749887,176.58699
