Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
15.763878,83.874324,0.0,0.26792259,114,24.0002,14.396591,0,5242,9.6035929,83874.339,15.763878,14.3966071,208.23193
17.684679,83.891002,0.0,0.41051238,114,24.0002,14.379467,0,5243,9.6207175,83891.02,17.684679,14.3794825,208.23193
19.580373,83.909652,0.0,0.93157667,114,24.0002,14.363617,0,5244,9.6365676,83909.671,19.580373,14.3636324,208.23193
20.754864,83.930003,0.0,1.0,114,24.0002,14.360078,0,5245,9.6401236,83930.024,20.754864,14.3600764,208.23193
20.750212,83.950753,0.0,1.0,114,24.0002,14.359296,0,5246,9.6409034,83950.774,20.750212,14.3592966,208.23193
20.75075,83.971503,0.0,1.0,114,24.0002,14.358175,0,5247,9.6420239,83971.524,20.75075,14.3581761,208.23193
20.749311,83.992253,0.0,1.0,114,24.0002,14.356909,0,5248,9.6432895,83992.274,20.749311,14.3569105,208.23193
20.746245,84.013001,0.0,1.0,114,24.0002,14.355417,0,5249,9.6447815,84013.022,20.746245,14.3554185,208.23193
20.741207,84.033745,0.0,0.99567112,114,24.0002,14.35357,0,5250,9.6466275,84033.766,20.741207,14.3535725,208.23193
20.735835,84.054484,0.0,0.8904656,114,24.0002,14.351349,0,5251,9.6488486,84054.504,20.735835,14.3513514,208.23193
20.732964,84.075218,0.0,0.65872877,114,24.0002,14.348942,0,5252,9.6512557,84075.239,20.732964,14.3489443,208.23193
20.730976,84.09595,0.0,0.5021259,114,24.0002,14.346437,0,5253,9.6537605,84095.971,20.730976,14.3464395,208.23193
20.73064,84.11668,0.0,0.37504655,114,24.0002,14.343884,0,5254,9.6563136,84116.701,20.73064,14.3438864,208.23193
20.7353,84.137413,0.0,0.24301325,114,24.0002,14.341631,0,5255,9.6585668,84137.434,20.7353,14.3416332,208.23193
20.739716,84.158151,0.0,0.10267009,114,24.0002,14.339648,0,5256,9.6605505,84158.171,20.739716,14.3396495,208.23193
19.885777,84.178606,0.0,0.045127353,114,24.0002,14.346424,0,5257,9.6537619,84178.626,19.885777,14.3464381,208.23193
18.766099,84.198117,0.20483944,0.0,114,24.0002,14.347423,0,5258,9.6527783,84198.135,18.766099,14.3474217,208.23193
15.549455,84.215226,0.17290883,0.0,114,24.0002,14.349024,0,5259,9.6511779,84215.241,15.549455,14.3490221,208.23193
13.55134,84.229636,0.047816561,0.0,114,24.0002,14.35039,0,5260,9.6498116,84229.649,13.55134,14.3503884,208.23193
12.849823,84.242792,0.0,0.013520211,114,24.0002,14.351502,0,5261,9.648693,84242.805,12.849823,14.351507,208.23193
13.417849,84.255836,0.0,0.18735576,114,24.0002,14.34402,0,5262,9.6561718,84255.849,13.417849,14.3440282,208.23193
14.932236,84.269899,0.0,0.35159238,114,24.0002,14.329718,0,5263,9.6704627,84269.914,14.932236,14.3297373,208.23193
17.139171,84.285955,0.0,0.60696107,114,24.0002,14.313,0,5264,9.6871838,84285.972,17.139171,14.3130162,208.23193
19.036963,84.304066,0.0,1.0,115,24.0002,14.297241,0,5265,9.7029431,84304.085,19.036963,14.2972569,208.23193
20.640698,84.323941,0.0,1.0,115,24.0002,14.285428,0,5266,9.7147843,84323.962,20.640698,14.2854157,208.23193
20.72389,84.34466,0.0,1.0,115,24.0002,14.285508,0,5267,9.7146896,84344.681,20.72389,14.2855104,208.23193
20.718339,84.365381,0.0,1.0,115,24.0002,14.282523,0,5268,9.7176737,84365.402,20.718339,14.2825263,208.23193
20.713817,84.386097,0.0,1.0,115,24.0002,14.278971,0,5269,9.7212256,84386.118,20.713817,14.2789744,208.23193
20.710019,84.406809,0.0,1.0,115,24.0002,14.275034,0,5270,9.7251619,84406.83,20.710019,14.2750381,208.23193
20.706992,84.427518,0.0,1.0,115,24.0002,14.270823,0,5271,9.7293725,84427.538,20.706992,14.2708275,208.23193
20.704862,84.448223,0.0,1.0,115,24.0002,14.266397,0,5272,9.7337986,84448.244,20.704862,14.2664014,208.23193
20.703551,84.468927,0.0,1.0,115,24.0002,14.261907,0,5273,9.738289,84468.947,20.703551,14.261911,208.23193
20.702535,84.48963,0.0,1.0,115,24.0002,14.257328,0,5274,9.742867,84489.65,20.702535,14.257333,208.23193
20.702509,84.510332,0.0,1.0,115,24.0002,14.252741,0,5275,9.7474548,84510.353,20.702509,14.2527452,208.23193
20.703064,84.531035,0.0,1.0,115,24.0002,14.248188,0,5276,9.7520079,84531.056,20.703064,14.2481921,208.23193
20.704191,84.551738,0.0,1.0,115,24.0002,14.243712,0,5277,9.7564833,84551.759,20.704191,14.2437167,208.23193
20.705965,84.572443,0.0,1.0,115,24.0002,14.239354,0,5278,9.7608421,84572.464,20.705965,14.2393579,208.23193
20.708354,84.593151,0.0,1.0,115,24.0002,14.235155,0,5279,9.7650409,84593.171,20.708354,14.2351591,208.23193
