Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
0.0,0.0,0.0,0.0,-2147483648,24.0002,24.0002,0,0,0.0,0.0,0.0,24.0002,208.23193
1.8526004,0.000605964,0.0,0.45122734,4573,24.0002,23.997417,0,1,0.002777102,0.60781692,1.8526004,23.997422898,208.23193
4.8481669,0.0039538,0.0,0.45431058,2693,24.0002,23.98953,0,2,0.010660319,3.9586478,4.8481669,23.989539681,208.23193
7.7684984,0.010291479,0.0,0.38751646,2018,24.0002,23.979412,0,3,0.020781399,10.299247,7.7684984,23.979418601,208.23193
9.5372021,0.019051805,0.0,0.21969124,1303,24.0002,23.97536,0,4,0.024837132,19.061342,9.5372021,23.975362868,208.23193
10.372786,0.029058226,0.0,0.13868492,914,24.0002,23.973635,0,5,0.026564252,29.068599,10.372786,23.973635748,208.23193
10.767017,0.039652419,0.0,0.10059275,691,24.0002,23.972769,0,6,0.027430087,39.663186,10.767017,23.972769913,208.23193
10.951996,0.050523476,0.0,0.08263859,554,24.0002,23.972203,0,7,0.027996707,50.534428,10.951996,23.972203293,208.23193
11.037688,0.061523773,0.0,0.074301808,463,24.0002,23.971711,0,8,0.028488016,61.534811,11.037688,23.971711984,208.23193
11.076814,0.072583554,0.0,0.070514471,399,24.0002,23.971217,0,9,0.028982289,72.594631,11.076814,23.971217710999998,208.23193
11.094508,0.083670371,0.0,0.068799605,352,24.0002,23.970702,0,10,0.029497259,83.681466,11.094508,23.970702741,208.23193
11.102421,0.094769363,0.0,0.068029557,316,24.0002,23.970167,0,11,0.030032128,94.780466,11.102421,23.970167872,208.23193
11.105878,0.10587375,0.0,0.067706724,288,24.0002,23.969617,0,12,0.030582716,105.88486,11.105878,23.969617283999998,208.23193
11.107342,0.11698047,0.0,0.067593158,266,24.0002,23.969055,0,13,0.031144767,116.99157,11.107342,23.969055233,208.23193
11.108001,0.12808817,0.0,0.067548917,247,24.0002,23.968486,0,14,0.031713708,128.09928,11.108001,23.968486291999998,208.23193
11.108368,0.13919637,0.0,0.067507297,231,24.0002,23.967914,0,15,0.032285385,139.20747,11.108368,23.967914614999998,208.23193
11.109026,0.15030509,0.0,0.067292191,218,24.0002,23.96735,0,16,0.032849651,150.3162,11.109026,23.967350349,208.23193
11.109312,0.16141428,0.0,0.0671316,206,24.0002,23.96679,0,17,0.033409454,161.42539,11.109312,23.966790546,208.23193
11.109492,0.17252368,0.0,0.067000691,196,24.0002,23.966234,0,18,0.033965916,172.53479,11.109492,23.966234084,208.23193
11.109704,0.18363327,0.0,0.06686263,187,24.0002,23.965681,0,19,0.034517987,183.64438,11.109704,23.965682013,208.23193
11.109935,0.19474309,0.0,0.06672073,180,24.0002,23.965134,0,20,0.035065286,194.7542,11.109935,23.965134714,208.23193
11.110147,0.20585314,0.0,0.066592745,172,24.0002,23.964591,0,21,0.035608457,205.86425,11.110147,23.964591543,208.23193
11.110333,0.21696338,0.0,0.066485224,166,24.0002,23.964051,0,22,0.036148326,216.97449,11.110333,23.964051674,208.23193
11.110448,0.22807378,0.0,0.066405761,160,24.0002,23.963514,0,23,0.036685924,228.08489,11.110448,23.963514076,208.23193
11.110349,0.2391842,0.0,0.06638473,155,24.0002,23.962976,0,24,0.037223664,239.19531,11.110349,23.962976336,208.23193
11.109065,0.25029407,0.0,0.066621134,150,24.0002,23.962428,0,25,0.037771386,250.30518,11.109065,23.962428614,208.23193
11.110817,0.26140434,0.0,0.066456889,146,24.0002,23.961888,0,26,0.038311642,261.41545,11.110817,23.961888358,208.23193
11.29708,0.27256998,0.0,0.12098376,152,24.0002,23.958745,0,27,0.041450391,272.58127,11.29708,23.958749608999998,208.23193
11.862145,0.28412857,0.0,0.15349836,161,24.0002,23.954218,0,28,0.045977485,284.14043,11.862145,23.954222514999998,208.23193
12.589938,0.29634652,0.0,0.16708778,172,24.0002,23.949164,0,29,0.051030293,296.35911,12.589938,23.949169707,208.23193
13.259469,0.30929772,0.0,0.13499984,176,24.0002,23.94572,0,30,0.054477102,309.31098,13.259469,23.945722898,208.23193
15.382535,0.32351665,0.0,0.62305108,244,24.0002,23.920937,0,31,0.079246883,323.53203,15.382535,23.920953117,208.23193
17.461032,0.33996658,0.0,0.54804916,281,24.0002,23.904633,0,32,0.095550677,339.98404,17.461032,23.904649323,208.23193
18.826309,0.35824419,0.0,0.17076077,280,24.0002,23.899547,0,33,0.10065119,358.26302,18.826309,23.89954881,208.23193
19.174002,0.37727424,0.0,0.12709953,273,24.0002,23.897013,0,34,0.10318386,377.29341,19.174002,23.897016139999998,208.23193
19.315962,0.39652831,0.0,0.11792384,268,24.0002,23.893796,0,35,0.10640069,396.54762,19.315962,23.89379931,208.23193
19.382234,0.41588145,0.0,0.11599017,264,24.0002,23.890278,0,36,0.10991879,415.90084,19.382234,23.89028121,208.23193
19.413733,0.43528135,0.0,0.11664182,261,24.0002,23.886497,0,37,0.11369891,435.30076,19.413733,23.88650109,208.23193
19.428971,0.4547036,0.0,0.11814006,258,24.0002,23.882507,0,38,0.11768899,454.72302,19.428971,23.882511009999998,208.23193
19.436289,0.47413669,0.0,0.12004455,256,24.0002,23.878347,0,39,0.12184956,474.15612,19.436289,23.87835044,208.23193
19.440116,0.49357532,0.0,0.12069249,255,24.0002,23.874151,0,40,0.1260443,493.59476,19.440116,23.8741557,208.23193
19.442027,0.51301647,0.0,0.12131262,253,24.0002,23.869894,0,41,0.1303013,513.03591,19.442027,23.8698987,208.23193
19.443167,0.53245911,0.0,0.12137709,252,24.0002,23.865642,0,42,0.13455382,532.47855,19.443167,23.86564618,208.23193
19.44389,0.55190267,0.0,0.12085035,251,24.0002,23.861436,0,43,0.1387595,551.92211,19.44389,23.8614405,208.23193
19.444374,0.57134681,0.0,0.11975943,250,24.0002,23.857313,0,44,0.14288282,571.36625,19.444374,23.85731718,208.23193
19.444746,0.59079137,0.0,0.11809946,248,24.0002,23.853308,0,45,0.1468883,590.81082,19.444746,23.8533117,208.23193
17.5979,0.60963652,0.2275595,0.0,229,24.0002,23.860554,0,46,0.1396482,609.65411,17.5979,23.8605518,208.23193
13.645092,0.6252745,0.24695046,0.0,220,24.0002,23.862191,0,47,0.13801039,625.28815,13.645092,23.862189609999998,208.23193
9.6480384,0.63692306,0.24934872,0.0,215,24.0002,23.863203,0,48,0.13699809,636.93271,9.6480384,23.86320191,208.23193
5.6505674,0.64457442,0.25104374,0.0,211,24.0002,23.863689,0,49,0.13651149,644.58007,5.6505674,23.86368851,208.23193
1.6589279,0.64822805,0.25488898,0.0,210,24.0002,23.863624,0,50,0.13657539,648.22971,1.6589279,23.86362461,208.23193
0.013132799,0.6486129,0.29918876,0.0,210,24.0002,23.863506,0,51,0.13669377,648.61291,0.013132799,23.86350623,208.23193
0.0070104,0.64862578,0.37694708,0.0,210,24.0002,23.863482,0,52,0.13671761,648.62579,0.0070104,23.863482389999998,208.23193
0.007159125,0.64863312,0.44933331,0.0,210,24.0002,23.863474,0,53,0.1367261,648.63312,0.007159125,23.8634739,208.23193
0.006696301,0.64863998,0.51795581,0.0,210,24.0002,23.863474,0,54,0.13672632,648.63999,0.006696301,23.86347368,208.23193
0.006393879,0.64864653,0.58342496,0.0,210,24.0002,23.863478,0,55,0.13672212,648.64653,0.006393879,23.863477879999998,208.23193
0.006088981,0.64865277,0.64585164,0.0,210,24.0002,23.863484,0,56,0.13671557,648.65277,0.006088981,23.86348443,208.23193
0.005781241,0.6486587,0.70520658,0.0,210,24.0002,23.863492,0,57,0.1367078,648.65871,0.005781241,23.8634922,208.23193
0.005472765,0.64866433,0.76148119,0.0,210,24.0002,23.863501,0,58,0.13669941,648.66434,0.005472765,23.86350059,208.23193
0.005163329,0.64866965,0.81466627,0.0,210,24.0002,23.863509,0,59,0.13669073,648.66965,0.005163329,23.863509269999998,208.23193
0.004852863,0.64867466,0.86475178,0.0,210,24.0002,23.863518,0,60,0.13668195,648.67466,0.004852863,23.86351805,208.23193
0.004541304,0.64867936,0.91172712,0.0,210,24.0002,23.863527,0,61,0.13667315,648.67936,0.004541304,23.86352685,208.23193
0.004228572,0.64868374,0.95558096,0.0,210,24.0002,23.863536,0,62,0.13666439,648.68374,0.004228572,23.86353561,208.23193
0.003914569,0.64868781,0.99630109,0.0,210,24.0002,23.863544,0,63,0.13665569,648.68782,0.003914569,23.863544309999998,208.23193
0.003599169,0.64869157,1.0,0.0,210,24.0002,23.863553,0,64,0.13664707,648.69157,0.003599169,23.86355293,208.23193
0.003282213,0.64869501,1.0,0.0,210,24.0002,23.863561,0,65,0.13663853,648.69501,0.003282213,23.86356147,208.23193
0.002963489,0.64869813,1.0,0.0,210,24.0002,23.86357,0,66,0.13663008,648.69814,0.002963489,23.86356992,208.23193
0.002642707,0.64870094,1.0,0.0,210,24.0002,23.863578,0,67,0.13662173,648.70094,0.002642707,23.863578269999998,208.23193
0.002319457,0.64870342,1.0,0.0,210,24.0002,23.863587,0,68,0.13661346,648.70342,0.002319457,23.86358654,208.23193
0.001993129,0.64870558,1.0,0.0,210,24.0002,23.863595,0,69,0.13660529,648.70558,0.001993129,23.86359471,208.23193
0.001662754,0.6487074,1.0,0.0,210,24.0002,23.863603,0,70,0.1365972,648.70741,0.001662754,23.8636028,208.23193
0.001326648,0.6487089,0.9997515,0.0,210,24.0002,23.863611,0,71,0.13658921,648.7089,0.001326648,23.86361079,208.23193
0.00098146,0.64871005,0.99859624,0.0,210,24.0002,23.863619,0,72,0.1365813,648.71006,0.00098146,23.8636187,208.23193
0.000618821,0.64871086,0.99779378,0.0,210,24.0002,23.863627,0,73,0.13657348,648.71086,0.000618821,23.86362652,208.23193
0.000205247,0.64871128,0.9973737,0.0,210,24.0002,23.863634,0,74,0.13656574,648.71128,0.000205247,23.863634259999998,208.23193
5.99e-06,0.64871132,0.99733018,0.0,210,24.0002,23.863642,0,75,0.13655809,648.71132,5.99e-06,23.86364191,208.23193
9.11e-07,0.64871132,0.99732893,0.0,210,24.0002,23.863649,0,76,0.13655053,648.71132,9.11e-07,23.86364947,208.23193
1.18e-06,0.64871133,0.9973276,0.0,210,24.0002,23.863657,0,77,0.13654304,648.71133,1.18e-06,23.86365696,208.23193
1.04e-06,0.64871133,0.99732619,0.0,210,24.0002,23.863664,0,78,0.13653564,648.71133,1.04e-06,23.863664359999998,208.23193
2.3e-07,0.64871133,0.99732478,0.0,210,24.0002,23.863672,0,79,0.13652833,648.71133,2.3e-07,23.86367167,208.23193
9.46e-07,0.64871133,0.99732335,0.0,210,24.0002,23.863679,0,80,0.13652109,648.71133,9.46e-07,23.86367891,208.23193
2.26e-06,0.64871133,0.997322,0.0,210,24.0002,23.863686,0,81,0.13651393,648.71133,2.26e-06,23.86368607,208.23193
8.35e-07,0.64871133,0.9973206,0.0,210,24.0002,23.863693,0,82,0.13650685,648.71133,8.35e-07,23.86369315,208.23193
5.96e-07,0.64871133,0.99731929,0.0,210,24.0002,23.8637,0,83,0.13649985,648.71133,5.96e-07,23.86370015,208.23193
1.5e-06,0.64871134,0.99731792,0.0,210,24.0002,23.863707,0,84,0.13649293,648.71134,1.5e-06,23.86370707,208.23193
9.35e-07,0.64871134,0.99731671,0.0,210,24.0002,23.863714,0,85,0.13648608,648.71134,9.35e-07,23.86371392,208.23193
1.34e-06,0.64871134,0.99731534,0.0,210,24.0002,23.863721,0,86,0.13647931,648.71134,1.34e-06,23.86372069,208.23193
5.04e-07,0.64871134,0.99731402,0.0,210,24.0002,23.863727,0,87,0.13647261,648.71134,5.04e-07,23.86372739,208.23193
1.7e-06,0.64871134,0.99731275,0.0,210,24.0002,23.863734,0,88,0.13646599,648.71134,1.7e-06,23.863734009999998,208.23193
9.74e-07,0.64871134,0.99731157,0.0,210,24.0002,23.863741,0,89,0.13645944,648.71134,9.74e-07,23.86374056,208.23193
1.68e-06,0.64871134,0.99731033,0.0,210,24.0002,23.863747,0,90,0.13645296,648.71134,1.68e-06,23.86374704,208.23193
1.64e-06,0.64871134,0.99730919,0.0,210,24.0002,23.863753,0,91,0.13644655,648.71134,1.64e-06,23.86375345,208.23193
1.18e-06,0.64871135,0.99730802,0.0,210,24.0002,23.86376,0,92,0.13644022,648.71135,1.18e-06,23.86375978,208.23193
2.28e-06,0.64871135,0.9973069,0.0,210,24.0002,23.863766,0,93,0.13643395,648.71135,2.28e-06,23.86376605,208.23193
2.01e-06,0.64871135,0.99730575,0.0,210,24.0002,23.863772,0,94,0.13642775,648.71135,2.01e-06,23.86377225,208.23193
1.77e-06,0.64871135,0.99730435,0.0,210,24.0002,23.863778,0,95,0.13642163,648.71135,1.77e-06,23.86377837,208.23193
1.48e-06,0.64871135,0.99730314,0.0,210,24.0002,23.863784,0,96,0.13641557,648.71135,1.48e-06,23.86378443,208.23193
5.06e-07,0.64871135,0.99730207,0.0,210,24.0002,23.86379,0,97,0.13640957,648.71135,5.06e-07,23.863790429999998,208.23193
1.34e-06,0.64871135,0.99730083,0.0,210,24.0002,23.863796,0,98,0.13640364,648.71135,1.34e-06,23.86379636,208.23193
0.67693152,0.64879372,0.0,0.5048602,211,24.0002,23.862827,0,99,0.13736918,648.79439,0.67693152,23.86283082,208.23193
1.8255211,0.65050577,0.0,0.001786305,211,24.0002,23.862823,0,100,0.13737712,650.5076,1.8255211,23.86282288,208.23193
0.6752767,0.65152758,0.0,0.11596593,211,24.0002,23.862524,0,101,0.13769193,651.52825,0.6752767,23.86250807,208.23193
0.77690917,0.65195341,0.0,0.20093419,212,24.0002,23.861885,0,102,0.13833664,651.95419,0.77690917,23.86186336,208.23193
0.73750102,0.65237458,0.0,0.42542639,213,24.0002,23.860976,0,103,0.13924582,652.37531,0.73750102,23.86095418,208.23193
0.049431727,0.65257141,1.0,0.0,212,24.0002,23.861835,0,104,0.13836546,652.57146,0.049431727,23.86183454,208.23193
0.008377738,0.65258808,1.0,0.0,211,24.0002,23.861868,0,105,0.13833214,652.58808,0.008377738,23.86186786,208.23193
0.006800175,0.65259535,1.0,0.0,211,24.0002,23.861888,0,106,0.13831157,652.59536,0.006800175,23.86188843,208.23193
0.006304345,0.65260184,1.0,0.0,211,24.0002,23.861902,0,107,0.13829792,652.60184,0.006304345,23.86190208,208.23193
0.006002816,0.652608,1.0,0.0,211,24.0002,23.861912,0,108,0.13828806,652.608,0.006002816,23.86191194,208.23193
0.005695892,0.65261385,1.0,0.0,211,24.0002,23.86192,0,109,0.13828027,652.61385,0.005695892,23.86191973,208.23193
0.005391492,0.65261939,1.0,0.0,211,24.0002,23.861926,0,110,0.13827363,652.61939,0.005391492,23.86192637,208.23193
0.005088701,0.65262463,1.0,0.0,211,24.0002,23.861932,0,111,0.13826764,652.62463,0.005088701,23.86193236,208.23193
0.004785867,0.65262957,1.0,0.0,211,24.0002,23.861938,0,112,0.13826203,652.62957,0.004785867,23.86193797,208.23193
0.004482381,0.6526342,0.99216193,0.0,211,24.0002,23.861943,0,113,0.13825664,652.63421,0.004482381,23.861943359999998,208.23193
0.004177949,0.65263853,0.99316167,0.0,211,24.0002,23.861949,0,114,0.13825141,652.63854,0.004177949,23.86194859,208.23193
0.0038724,0.65264256,1.0,0.0,211,24.0002,23.861954,0,115,0.13824629,652.64256,0.0038724,23.861953709999998,208.23193
0.003565595,0.65264628,1.0,0.0,211,24.0002,23.861959,0,116,0.13824124,652.64628,0.003565595,23.86195876,208.23193
0.003257389,0.65264969,1.0,0.0,211,24.0002,23.861964,0,117,0.13823627,652.64969,0.003257389,23.86196373,208.23193
0.002947601,0.65265279,1.0,0.0,211,24.0002,23.861969,0,118,0.13823136,652.65279,0.002947601,23.86196864,208.23193
0.002635992,0.65265558,1.0,0.0,211,24.0002,23.861973,0,119,0.13822651,652.65559,0.002635992,23.86197349,208.23193
0.002322224,0.65265806,1.0,0.0,211,24.0002,23.861978,0,120,0.13822172,652.65806,0.002322224,23.86197828,208.23193
0.002005805,0.65266023,1.0,0.0,211,24.0002,23.861983,0,121,0.13821698,652.66023,0.002005805,23.86198302,208.23193
0.001685964,0.65266207,1.0,0.0,211,24.0002,23.861988,0,122,0.13821229,652.66207,0.001685964,23.86198771,208.23193
0.001361402,0.6526636,1.0,0.0,211,24.0002,23.861992,0,123,0.13820765,652.6636,0.001361402,23.86199235,208.23193
0.00102964,0.65266479,1.0,0.0,211,24.0002,23.861997,0,124,0.13820307,652.66479,0.00102964,23.86199693,208.23193
0.000684943,0.65266565,1.0,0.0,211,24.0002,23.862001,0,125,0.13819853,652.66565,0.000684943,23.86200147,208.23193
0.000308095,0.65266615,1.0,0.0,211,24.0002,23.862006,0,126,0.13819405,652.66615,0.000308095,23.86200595,208.23193
3.74e-06,0.65266626,1.0,0.0,211,24.0002,23.86201,0,127,0.13818961,652.66626,3.74e-06,23.86201039,208.23193
2.3e-06,0.65266627,1.0,0.0,211,24.0002,23.862015,0,128,0.13818523,652.66627,2.3e-06,23.86201477,208.23193
2.39e-07,0.65266627,1.0,0.0,211,24.0002,23.862019,0,129,0.13818089,652.66627,2.39e-07,23.86201911,208.23193
2.07e-07,0.65266627,1.0,0.0,211,24.0002,23.862023,0,130,0.1381766,652.66627,2.07e-07,23.862023399999998,208.23193
2.26e-06,0.65266627,1.0,0.0,211,24.0002,23.862028,0,131,0.13817236,652.66627,2.26e-06,23.86202764,208.23193
1.63e-06,0.65266627,1.0,0.0,211,24.0002,23.862032,0,132,0.13816816,652.66627,1.63e-06,23.86203184,208.23193
1.57e-06,0.65266627,1.0,0.0,211,24.0002,23.862036,0,133,0.13816402,652.66627,1.57e-06,23.862035979999998,208.23193
1.27e-06,0.65266627,1.0,0.0,211,24.0002,23.86204,0,134,0.13815991,652.66627,1.27e-06,23.86204009,208.23193
7.44e-07,0.65266628,1.0,0.0,211,24.0002,23.862044,0,135,0.13815585,652.66628,7.44e-07,23.86204415,208.23193
9.18e-07,0.65266628,1.0,0.0,211,24.0002,23.862048,0,136,0.13815184,652.66628,9.18e-07,23.86204816,208.23193
1.9e-06,0.65266628,1.0,0.0,211,24.0002,23.862052,0,137,0.13814787,652.66628,1.9e-06,23.86205213,208.23193
0.34979763,0.6526983,0.0,0.43806375,212,24.0002,23.861612,0,138,0.13858478,652.69865,0.34979763,23.86161522,208.23193
