Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
20.753856,167.32931,0.0,1.0,114,24.0002,4.7995214,0,9443,19.200677,167329.33,20.753856,4.799523000000001,208.34538
20.75827,167.35006,0.0,1.0,114,24.0002,4.7983533,0,9444,19.201846,167350.08,20.75827,4.798354,208.34538
20.764023,167.37082,0.0,1.0,114,24.0002,4.7974938,0,9445,19.202706,167370.84,20.764023,4.797494,208.34538
20.767617,167.39159,0.0,1.0,114,24.0002,4.7969768,0,9446,19.203223,167391.61,20.767617,4.796976999999998,208.34538
20.769087,167.41236,0.0,1.0,114,24.0002,4.7966739,0,9447,19.203526,167412.38,20.769087,4.796673999999999,208.34538
20.768635,167.43313,0.0,1.0,114,24.0002,4.7964531,0,9448,19.203747,167433.15,20.768635,4.796453,208.34538
20.766338,167.45389,0.0,1.0,114,24.0002,4.796186,0,9449,19.204014,167453.91,20.766338,4.796185999999999,208.34538
20.762323,167.47466,0.0,1.0,114,24.0002,4.7957466,0,9450,19.204453,167474.68,20.762323,4.795746999999999,208.34538
20.756254,167.49542,0.0,1.0,114,24.0002,4.7950074,0,9451,19.205192,167495.44,20.756254,4.795007999999999,208.34538
20.748298,167.51617,0.0,1.0,114,24.0002,4.7938397,0,9452,19.206359,167516.19,20.748298,4.7938410000000005,208.34538
20.738712,167.53691,0.0,1.0,114,24.0002,4.7921167,0,9453,19.208081,167536.93,20.738712,4.792119,208.34538
20.732275,167.55765,0.0,1.0,114,24.0002,4.7898115,0,9454,19.210386,167557.67,20.732275,4.789814,208.34538
20.728946,167.57838,0.0,1.0,114,24.0002,4.7871163,0,9455,19.213081,167578.4,20.728946,4.787119000000001,208.34538
20.728367,167.59911,0.0,1.0,114,24.0002,4.784214,0,9456,19.215983,167599.13,20.728367,4.784216999999998,208.34538
20.729923,167.61984,0.0,1.0,114,24.0002,4.7812663,0,9457,19.218931,167619.86,20.729923,4.781268999999998,208.34538
20.731349,167.64057,0.0,1.0,114,24.0002,4.7785123,0,9458,19.221685,167640.59,20.731349,4.778514999999999,208.34538
20.739097,167.6613,0.0,1.0,114,24.0002,4.7760001,0,9459,19.224198,167661.32,20.739097,4.776001999999998,208.34538
20.747904,167.68205,0.0,1.0,114,24.0002,4.7740438,0,9460,19.226155,167682.07,20.747904,4.774045000000001,208.34538
20.752435,167.7028,0.0,1.0,114,24.0002,4.772495,0,9461,19.227704,167702.82,20.752435,4.772496,208.34538
20.754205,167.72355,0.0,1.0,114,24.0002,4.7711788,0,9462,19.22902,167723.57,20.754205,4.771180000000001,208.34538
20.745624,167.7443,0.0,0.003476071,114,24.0002,4.7711734,0,9463,19.229049,167744.32,20.745624,4.771151,208.34538
17.643728,167.76394,0.33074431,0.0,114,24.0002,4.7757379,0,9464,19.224464,167763.96,17.643728,4.775735999999998,208.34538
15.281928,167.78006,0.0178989,0.0,114,24.0002,4.7773214,0,9465,19.22288,167780.08,15.281928,4.77732,208.34538
14.688173,167.79502,0.0,0.05428687,114,24.0002,4.7782657,0,9466,19.221933,167795.03,14.688173,4.778267,208.34538
14.6616,167.80967,0.0,0.087134559,114,24.0002,4.776669,0,9467,19.223529,167809.69,14.6616,4.776671,208.34538
14.743969,167.82436,0.0,0.11023587,114,24.0002,4.7745166,0,9468,19.22568,167824.38,14.743969,4.774519999999999,208.34538
15.337509,167.83933,0.0,0.21504682,114,24.0002,4.7687414,0,9469,19.231449,167839.35,15.337509,4.768750999999998,208.34538
17.003592,167.85541,0.0,0.34922652,114,24.0002,4.7554225,0,9470,19.244762,167855.43,17.003592,4.755437999999998,208.34538
18.977028,167.87342,0.0,0.70017712,114,24.0002,4.7399258,0,9471,19.260259,167873.44,18.977028,4.739940999999998,208.34538
20.674881,167.89329,0.0,1.0,114,24.0002,4.7265373,0,9472,19.273662,167893.31,20.674881,4.726537999999998,208.34538
20.751197,167.91404,0.0,1.0,114,24.0002,4.7256704,0,9473,19.274528,167914.06,20.751197,4.725671999999999,208.34538
20.750451,167.93479,0.0,1.0,114,24.0002,4.724354,0,9474,19.275845,167934.81,20.750451,4.724354999999999,208.34538
20.749794,167.95554,0.0,1.0,114,24.0002,4.7229586,0,9475,19.27724,167955.56,20.749794,4.7229600000000005,208.34538
20.747475,167.97629,0.0,1.0,114,24.0002,4.7214736,0,9476,19.278725,167976.31,20.747475,4.721474999999998,208.34538
20.743108,167.99703,0.0,1.0,114,24.0002,4.7197918,0,9477,19.280406,167997.05,20.743108,4.719794,208.34538
