Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v,RemainingCapacity,target
15.993917,42.287603,0.0,0.42007126,113,24.0002,19.195257,0,3100,4.8049267,42287.619,15.993917,19.1952733,208.29089
18.05845,42.304656,0.0,0.88108663,113,24.0002,19.179106,0,3101,4.8210785,42304.674,18.05845,19.1791215,208.29089
19.829275,42.32362,0.0,1.0,114,24.0002,19.163321,0,3102,4.8368631,42323.64,19.829275,19.1633369,208.29089
20.726887,42.344089,0.0,1.0,114,24.0002,19.162558,0,3103,4.8376396,42344.11,20.726887,19.1625604,208.29089
20.720666,42.364813,0.0,1.0,114,24.0002,19.159928,0,3104,4.8402688,42364.833,20.720666,19.1599312,208.29089
20.716133,42.385531,0.0,1.0,114,24.0002,19.156683,0,3105,4.8435139,42385.552,20.716133,19.1566861,208.29089
20.711942,42.406245,0.0,1.0,114,24.0002,19.152931,0,3106,4.8472646,42406.266,20.711942,19.1529354,208.29089
20.708504,42.426955,0.0,1.0,114,24.0002,19.148828,0,3107,4.8513678,42426.976,20.708504,19.1488322,208.29089
20.705839,42.447662,0.0,1.0,114,24.0002,19.144489,0,3108,4.855707,42447.683,20.705839,19.144493,208.29089
20.703616,42.468367,0.0,1.0,114,24.0002,19.139995,0,3109,4.8602011,42468.387,20.703616,19.1399989,208.29089
20.702803,42.48907,0.0,1.0,114,24.0002,19.135416,0,3110,4.8647794,42489.091,20.702803,19.1354206,208.29089
20.702457,42.509773,0.0,1.0,114,24.0002,19.13082,0,3111,4.8693756,42509.793,20.702457,19.1308244,208.29089
20.70266,42.530475,0.0,1.0,114,24.0002,19.126237,0,3112,4.873958,42530.496,20.70266,19.126242,208.29089
20.703514,42.551178,0.0,1.0,114,24.0002,19.121719,0,3113,4.8784763,42551.199,20.703514,19.1217237,208.29089
20.704921,42.571882,0.0,1.0,114,24.0002,19.117305,0,3114,4.8828903,42571.903,20.704921,19.1173097,208.29089
20.706959,42.592588,0.0,1.0,114,24.0002,19.113039,0,3115,4.8871573,42592.609,20.706959,19.1130427,208.29089
20.709702,42.613296,0.0,1.0,114,24.0002,19.108962,0,3116,4.8912343,42613.317,20.709702,19.1089657,208.29089
20.713038,42.634008,0.0,1.0,114,24.0002,19.105124,0,3117,4.8950726,42634.028,20.713038,19.1051274,208.29089
20.716703,42.654723,0.0,1.0,114,24.0002,19.101568,0,3118,4.8986291,42654.743,20.716703,19.1015709,208.29089
20.720111,42.675441,0.0,1.0,114,24.0002,19.098287,0,3119,4.9019102,42675.462,20.720111,19.0982898,208.29089
20.723454,42.696163,0.0,1.0,114,24.0002,19.095265,0,3120,4.9049321,42696.184,20.723454,19.0952679,208.29089
20.726778,42.716888,0.0,1.0,114,24.0002,19.092486,0,3121,4.9077115,42716.909,20.726778,19.0924885,208.29089
20.730221,42.737616,0.0,1.0,114,24.0002,19.08993,0,3122,4.9102674,42737.637,20.730221,19.0899326,208.29089
20.733995,42.758349,0.0,1.0,114,24.0002,19.08759,0,3123,4.9126075,42758.369,20.733995,19.0875925,208.29089
20.738223,42.779085,0.0,1.0,114,24.0002,19.085456,0,3124,4.9147416,42779.105,20.738223,19.0854584,208.29089
20.744779,42.799826,0.0,1.0,114,24.0002,19.083659,0,3125,4.9165397,42799.847,20.744779,19.0836603,208.29089
20.75303,42.820575,0.0,1.0,114,24.0002,19.082397,0,3126,4.9178024,42820.595,20.75303,19.0823976,208.29089
20.76021,42.841331,0.0,1.0,114,24.0002,19.081584,0,3127,4.9186151,42841.352,20.76021,19.0815849,208.29089
20.766464,42.862095,0.0,1.0,114,24.0002,19.081173,0,3128,4.9190268,42862.116,20.766464,19.0811732,208.29089
20.771856,42.882864,0.0,1.0,114,24.0002,19.081121,0,3129,4.9190789,42882.885,20.771856,19.0811211,208.29089
20.776816,42.903638,0.0,1.0,114,24.0002,19.081359,0,3130,4.9188408,42903.659,20.776816,19.0813592,208.29089
20.78184,42.924418,0.0,1.0,114,24.0002,19.081759,0,3131,4.9184417,42924.438,20.78184,19.0817583,208.29089
20.786959,42.945202,0.0,1.0,114,24.0002,19.082334,0,3132,4.9178667,42945.223,20.786959,19.0823333,208.29089
20.792205,42.965992,0.0,1.0,114,24.0002,19.083072,0,3133,4.9171293,42966.012,20.792205,19.0830707,208.29089
20.796931,42.986786,0.0,1.0,114,24.0002,19.08397,0,3134,4.9162307,42986.807,20.796931,19.0839693,208.29089
20.800424,43.007585,0.0,1.0,114,24.0002,19.084954,0,3135,4.9152468,43007.606,20.800424,19.0849532,208.29089
20.8025,43.028387,0.0,1.0,114,24.0002,19.085964,0,3136,4.9142365,43028.407,20.8025,19.0859635,208.29089
20.803025,43.04919,0.0,0.95021729,114,24.0002,19.086931,0,3137,4.9132701,43049.21,20.803025,19.0869299,208.29089
20.802104,43.069992,0.0,0.57541055,114,24.0002,19.087778,0,3138,4.9124232,43070.013,20.802104,19.0877768,208.29089
20.706967,43.090784,0.0,0.043591495,113,24.0002,19.091786,0,3139,4.9085515,43090.805,20.706967,19.0916485,208.29089
20.029113,43.111164,0.0,0.047221516,113,24.0002,19.097798,0,3140,4.902635,43111.184,20.029113,19.097565,208.29089
19.80153,43.13102,0.0,0.05130855,113,24.0002,19.093668,0,3141,4.9056483,43131.04,19.80153,19.0945517,208.29089
20.175324,43.150952,0.0,0.1362109,113,24.0002,19.087703,0,3142,4.9124871,43150.972,20.175324,19.0877129,208.29089
20.776158,43.17151,0.0,0.50028128,113,24.0002,19.086507,0,3143,4.9136941,43171.531,20.776158,19.0865059,208.29089
20.76738,43.192281,0.0,1.0,113,24.0002,19.086671,0,3144,4.9135292,43192.302,20.76738,19.0866708,208.29089
20.761843,43.213045,0.0,1.0,113,24.0002,19.086204,0,3145,4.9139953,43213.066,20.761843,19.0862047,208.29089
20.757205,43.233805,0.0,1.0,113,24.0002,19.0853,0,3146,4.914899,43233.826,20.757205,19.085301,208.29089
20.753389,43.25456,0.0,1.0,113,24.0002,19.084067,0,3147,4.9161319,43254.581,20.753389,19.0840681,208.29089
20.750607,43.275312,0.0,1.0,113,24.0002,19.08261,0,3148,4.917588,43275.333,20.750607,19.082612,208.29089
20.748977,43.296062,0.0,1.0,113,24.0002,19.081027,0,3149,4.9191718,43296.082,20.748977,19.0810282,208.29089
20.748724,43.31681,0.0,1.0,113,24.0002,19.079412,0,3150,4.9207868,43316.831,20.748724,19.0794132,208.29089
20.749736,43.33756,0.0,1.0,113,24.0002,19.077854,0,3151,4.9223442,43337.58,20.749736,19.0778558,208.29089
20.752082,43.35831,0.0,1.0,113,24.0002,19.076442,0,3152,4.9237563,43358.331,20.752082,19.0764437,208.29089
20.755784,43.379064,0.0,1.0,113,24.0002,19.075264,0,3153,4.9249353,43379.085,20.755784,19.0752647,208.29089
20.760874,43.399822,0.0,1.0,113,24.0002,19.074406,0,3154,4.925793,43399.843,20.760874,19.074407,208.29089
20.766008,43.420586,0.0,1.0,113,24.0002,19.073945,0,3155,4.9262544,43420.607,20.766008,19.0739456,208.29089
20.768481,43.441354,0.0,1.0,113,24.0002,19.073717,0,3156,4.9264828,43441.374,20.768481,19.0737172,208.29089
20.769024,43.462122,0.0,1.0,113,24.0002,19.07357,0,3157,4.9266297,43462.143,20.769024,19.0735703,208.29089
20.767718,43.482891,0.0,1.0,113,24.0002,19.073363,0,3158,4.9268365,43482.912,20.767718,19.0733635,208.29089
20.764609,43.503657,0.0,1.0,113,24.0002,19.072969,0,3159,4.92723,43503.678,20.764609,19.07297,208.29089
20.759607,43.52442,0.0,1.0,113,24.0002,19.072258,0,3160,4.9279408,43524.44,20.759607,19.0722592,208.29089
20.752599,43.545176,0.0,1.0,113,24.0002,19.071098,0,3161,4.9291011,43545.197,20.752599,19.0710989,208.29089
20.743759,43.565924,0.0,1.0,113,24.0002,19.069362,0,3162,4.9308361,43565.945,20.743759,19.0693639,208.29089
20.735185,43.586663,0.0,1.0,113,24.0002,19.06696,0,3163,4.9332375,43586.684,20.735185,19.0669625,208.29089
20.730221,43.607396,0.0,1.0,113,24.0002,19.064144,0,3164,4.9360535,43607.416,20.730221,19.0641465,208.29089
20.728385,43.628125,0.0,1.0,113,24.0002,19.061131,0,3165,4.939066,43628.146,20.728385,19.061134,208.29089
20.728682,43.648853,0.0,1.0,113,24.0002,19.058086,0,3166,4.9421105,43648.874,20.728682,19.0580895,208.29089
20.731352,43.669583,0.0,1.0,113,24.0002,19.055273,0,3167,4.9449246,43669.604,20.731352,19.0552754,208.29089
20.733331,43.690315,0.0,1.0,113,24.0002,19.052684,0,3168,4.9475131,43690.336,20.733331,19.0526869,208.29089
20.744181,43.711054,0.0,1.0,113,24.0002,19.05073,0,3169,4.9494688,43711.074,20.744181,19.0507312,208.29089
20.750466,43.731801,0.0,1.0,113,24.0002,19.049271,0,3170,4.9509273,43731.822,20.750466,19.0492727,208.29089
20.753581,43.752553,0.0,1.0,113,24.0002,19.048044,0,3171,4.9521552,43752.574,20.753581,19.0480448,208.29089
20.754171,43.773308,0.0,0.85883697,113,24.0002,19.046888,0,3172,4.9533112,43773.328,20.754171,19.0468888,208.29089
19.906216,43.793871,0.05487004,0.0,112,24.0002,19.055491,0,3173,4.9446388,43793.891,19.906216,19.0555612,208.29089
15.991598,43.811736,0.11908664,0.0,112,24.0002,19.054814,0,3174,4.945388,43811.752,15.991598,19.054812,208.29089
14.961309,43.827094,0.0,0.0,112,24.0002,19.056323,0,3175,4.943878,43827.109,14.961309,19.056322,208.29089
14.647443,43.841828,0.0,0.082474735,112,24.0002,19.054229,0,3176,4.9459684,43841.843,14.647443,19.0542316,208.29089
14.682989,43.85649,0.0,0.090222594,112,24.0002,19.052125,0,3177,4.9480724,43856.505,14.682989,19.0521276,208.29089
14.923862,43.871252,0.0,0.1506014,112,24.0002,19.047166,0,3178,4.9530261,43871.267,14.923862,19.0471739,208.29089
16.008661,43.886621,0.0,0.29125196,113,24.0002,19.033769,0,3179,4.966413,43886.637,16.008661,19.033787,208.29089
17.989973,43.903599,0.0,0.45736562,113,24.0002,19.015847,0,3180,4.9843369,43903.617,17.989973,19.0158631,208.29089
19.852455,43.922536,0.0,1.0,113,24.0002,18.99987,0,3181,5.0003142,43922.556,19.852455,18.9998858,208.29089
20.749435,43.943046,0.0,1.0,113,24.0002,19.001114,0,3182,4.9990844,43943.067,20.749435,19.0011156,208.29089
20.750191,43.963796,0.0,1.0,113,24.0002,19.000359,0,3183,4.9998401,43963.817,20.750191,19.0003599,208.29089
20.751077,43.984547,0.0,1.0,113,24.0002,18.999333,0,3184,5.0008665,43984.567,20.751077,18.9993335,208.29089
20.749083,44.005296,0.0,1.0,113,24.0002,18.998101,0,3185,5.0020982,44005.317,20.749083,18.9981018,208.29089
20.745572,44.026044,0.0,1.0,113,24.0002,18.996565,0,3186,5.003633,44026.064,20.745572,18.996567,208.29089
20.740277,44.046787,0.0,0.98680147,113,24.0002,18.99462,0,3187,5.0055774,44046.808,20.740277,18.9946226,208.29089
20.735204,44.067524,0.0,0.86216562,113,24.0002,18.992305,0,3188,5.0078922,44067.545,20.735204,18.9923078,208.29089
20.732648,44.088258,0.0,0.62478519,113,24.0002,18.989852,0,3189,5.0103459,44088.279,20.732648,18.9898541,208.29089
20.73061,44.10899,0.0,0.48304235,113,24.0002,18.987304,0,3190,5.0128937,44109.011,20.73061,18.9873063,208.29089
20.731218,44.12972,0.0,0.35524523,113,24.0002,18.984776,0,3191,5.015422,44129.741,20.731218,18.984778,208.29089
20.735975,44.150454,0.0,0.2226737,113,24.0002,18.982613,0,3192,5.0175846,44150.474,20.735975,18.9826154,208.29089
20.739598,44.171192,0.0,0.071476333,113,24.0002,18.981102,0,3193,5.0191065,44171.213,20.739598,18.9810935,208.29089
19.774836,44.191507,0.0,0.0,113,24.0002,18.987899,0,3194,5.0123033,44191.527,19.774836,18.9878967,208.29089
18.264388,44.210817,0.22288029,0.0,113,24.0002,18.989865,0,3195,5.0103368,44210.836,18.264388,18.9898632,208.29089
15.138206,44.227438,0.15901724,0.0,113,24.0002,18.991383,0,3196,5.0088185,44227.453,15.138206,18.9913815,208.29089
13.391087,44.241561,0.031237723,0.0,113,24.0002,18.99271,0,3197,5.0074912,44241.574,13.391087,18.9927088,208.29089
12.823402,44.254619,0.0,0.090808951,113,24.0002,18.991801,0,3198,5.0083856,44254.631,12.823402,18.9918144,208.29089
13.564773,44.267764,0.0,0.20768921,113,24.0002,18.98323,0,3199,5.0169582,44267.778,13.564773,18.9832418,208.29089
15.276631,44.282075,0.0,0.37052674,113,24.0002,18.965757,0,3200,5.0344218,44282.091,15.276631,18.9657782,208.29089
17.449805,44.298468,0.0,0.68639186,114,24.0002,18.949291,0,3201,5.0508933,44298.485,17.449805,18.9493067,208.29089
19.303959,44.316867,0.0,1.0,114,24.0002,18.933422,0,3202,5.0667618,44316.886,19.303959,18.9334382,208.29089
20.715755,44.336974,0.0,1.0,114,24.0002,18.926904,0,3203,5.0733039,44336.994,20.715755,18.9268961,208.29089
20.723057,44.357699,0.0,1.0,114,24.0002,18.925897,0,3204,5.0743004,44357.72,20.723057,18.9258996,208.29089
20.717525,44.378419,0.0,1.0,114,24.0002,18.922851,0,3205,5.0773453,44378.44,20.717525,18.9228547,208.29089
20.713178,44.399134,0.0,1.0,114,24.0002,18.919236,0,3206,5.0809599,44399.155,20.713178,18.9192401,208.29089
20.70949,44.419846,0.0,1.0,114,24.0002,18.91523,0,3207,5.084966,44419.866,20.70949,18.915234,208.29089
20.706578,44.440554,0.0,1.0,114,24.0002,18.910956,0,3208,5.08924,44440.574,20.706578,18.91096,208.29089
20.702942,44.461259,0.0,1.0,114,24.0002,18.906577,0,3209,5.0936179,44461.28,20.702942,18.9065821,208.29089
20.703031,44.481962,0.0,1.0,114,24.0002,18.90196,0,3210,5.0982357,44481.983,20.703031,18.9019643,208.29089
20.70249,44.502665,0.0,1.0,114,24.0002,18.897351,0,3211,5.102844,44502.686,20.70249,18.897356,208.29089
20.702534,44.523367,0.0,1.0,114,24.0002,18.89276,0,3212,5.1074357,44523.388,20.702534,18.8927643,208.29089
20.703196,44.54407,0.0,1.0,114,24.0002,18.888216,0,3213,5.1119792,44544.091,20.703196,18.8882208,208.29089
20.704402,44.564774,0.0,1.0,114,24.0002,18.883766,0,3214,5.1164295,44564.795,20.704402,18.8837705,208.29089
20.706264,44.585479,0.0,1.0,114,24.0002,18.879448,0,3215,5.1207479,44585.5,20.706264,18.8794521,208.29089
20.708774,44.606187,0.0,1.0,114,24.0002,18.875305,0,3216,5.124891,44606.207,20.708774,18.875309,208.29089
20.71194,44.626897,0.0,1.0,114,24.0002,18.871386,0,3217,5.1288105,44626.918,20.71194,18.8713895,208.29089
20.715593,44.647611,0.0,1.0,114,24.0002,18.867736,0,3218,5.1324604,44647.631,20.715593,18.8677396,208.29089
20.719059,44.668328,0.0,1.0,114,24.0002,18.86437,0,3219,5.1358262,44668.349,20.719059,18.8643738,208.29089
20.722433,44.689049,0.0,1.0,114,24.0002,18.861267,0,3220,5.1389305,44689.07,20.722433,18.8612695,208.29089
20.72574,44.709773,0.0,1.0,115,24.0002,18.858411,0,3221,5.1417858,44709.794,20.72574,18.8584142,208.29089
20.729112,44.7305,0.0,1.0,115,24.0002,18.855784,0,3222,5.1444132,44730.521,20.729112,18.8557868,208.29089
20.732797,44.751231,0.0,1.0,115,24.0002,18.853377,0,3223,5.1468211,44751.252,20.732797,18.8533789,208.29089
20.736763,44.771966,0.0,1.0,115,24.0002,18.851173,0,3224,5.1490249,44771.987,20.736763,18.8511751,208.29089
20.742346,44.792705,0.0,1.0,114,24.0002,18.849241,0,3225,5.1509576,44792.726,20.742346,18.8492424,208.29089
20.75054,44.813452,0.0,1.0,114,24.0002,18.847807,0,3226,5.1523914,44813.472,20.75054,18.8478086,208.29089
20.758078,44.834206,0.0,1.0,114,24.0002,18.846856,0,3227,5.1533433,44834.227,20.758078,18.8468567,208.29089
20.764603,44.854968,0.0,1.0,114,24.0002,18.846321,0,3228,5.1538788,44854.988,20.764603,18.8463212,208.29089
20.770246,44.875735,0.0,1.0,114,24.0002,18.846156,0,3229,5.1540437,44875.756,20.770246,18.8461563,208.29089
20.775253,44.896508,0.0,1.0,114,24.0002,18.846324,0,3230,5.1538762,44896.529,20.775253,18.8463238,208.29089
20.780286,44.917286,0.0,1.0,114,24.0002,18.846664,0,3231,5.1535367,44917.306,20.780286,18.8466633,208.29089
20.785319,44.938068,0.0,1.0,114,24.0002,18.847183,0,3232,5.1530173,44938.089,20.785319,18.8471827,208.29089
20.790528,44.958856,0.0,1.0,114,24.0002,18.847867,0,3233,5.1523339,44958.877,20.790528,18.8478661,208.29089
20.795637,44.979649,0.0,1.0,114,24.0002,18.848719,0,3234,5.1514816,44979.67,20.795637,18.8487184,208.29089
20.799464,45.000447,0.0,1.0,114,24.0002,18.849682,0,3235,5.1505193,45000.468,20.799464,18.8496807,208.29089
20.802023,45.021248,0.0,1.0,114,24.0002,18.85069,0,3236,5.1495112,45021.269,20.802023,18.8506888,208.29089
20.803036,45.042051,0.0,0.99855656,114,24.0002,18.851677,0,3237,5.1485242,45042.071,20.803036,18.8516758,208.29089
20.802462,45.062854,0.0,0.72332453,114,24.0002,18.852573,0,3238,5.1476273,45062.874,20.802462,18.8525727,208.29089
20.801458,45.083655,0.0,0.14158203,114,24.0002,18.853284,0,3239,5.1469162,45083.676,20.801458,18.8532838,208.29089
20.219614,45.104237,0.0,0.055727026,114,24.0002,18.856606,0,3240,5.1436048,45104.258,20.219614,18.8565952,208.29089
19.806196,45.124191,0.0,0.040470375,113,24.0002,18.85962,0,3241,5.1405792,45124.211,19.806196,18.8596208,208.29089
19.98427,45.144037,0.0,0.10746148,113,24.0002,18.855586,0,3242,5.1446055,45144.057,19.98427,18.8555945,208.29089
20.738753,45.164377,0.0,0.2306492,114,24.0002,18.849936,0,3243,5.1502732,45164.398,20.738753,18.8499268,208.29089
20.77045,45.185148,0.0,1.0,113,24.0002,18.851719,0,3244,5.1484809,45185.169,20.77045,18.8517191,208.29089
20.763375,45.205915,0.0,1.0,113,24.0002,18.851456,0,3245,5.1487439,45205.935,20.763375,18.8514561,208.29089
20.758533,45.226675,0.0,1.0,113,24.0002,18.850676,0,3246,5.1495231,45226.696,20.758533,18.8506769,208.29089
20.754471,45.247432,0.0,1.0,113,24.0002,18.849538,0,3247,5.1506607,45247.453,20.754471,18.8495393,208.29089
20.751364,45.268185,0.0,1.0,113,24.0002,18.848143,0,3248,5.1520556,45268.205,20.751364,18.8481444,208.29089
20.749318,45.288935,0.0,1.0,113,24.0002,18.846592,0,3249,5.1536067,45288.956,20.749318,18.8465933,208.29089
20.748664,45.309684,0.0,1.0,113,24.0002,18.844978,0,3250,5.1552208,45309.705,20.748664,18.8449792,208.29089
20.74928,45.330433,0.0,1.0,113,24.0002,18.843393,0,3251,5.1568051,45330.453,20.74928,18.8433949,208.29089
20.751206,45.351183,0.0,1.0,113,24.0002,18.841926,0,3252,5.1582726,45351.204,20.751206,18.8419274,208.29089
20.754482,45.371936,0.0,1.0,113,24.0002,18.840664,0,3253,5.1595353,45371.956,20.754482,18.8406647,208.29089
20.759136,45.392692,0.0,1.0,113,24.0002,18.839694,0,3254,5.1605053,45392.713,20.759136,18.8396947,208.29089
20.764849,45.413454,0.0,1.0,113,24.0002,18.839109,0,3255,5.1610911,45413.475,20.764849,18.8391089,208.29089
20.767954,45.434221,0.0,1.0,113,24.0002,18.838827,0,3256,5.1613726,45434.242,20.767954,18.8388274,208.29089
20.769065,45.454989,0.0,1.0,113,24.0002,18.838667,0,3257,5.1615327,45455.01,20.769065,18.8386673,208.29089
20.768314,45.475758,0.0,1.0,113,24.0002,18.838494,0,3258,5.161706,45475.779,20.768314,18.838494,208.29089
20.765753,45.496526,0.0,1.0,113,24.0002,18.838171,0,3259,5.1620285,45496.546,20.765753,18.8381715,208.29089
20.761407,45.517289,0.0,1.0,113,24.0002,18.837575,0,3260,5.1626238,45517.31,20.761407,18.8375762,208.29089
20.754984,45.538048,0.0,1.0,113,24.0002,18.836573,0,3261,5.1636262,45538.068,20.754984,18.8365738,208.29089
20.746716,45.558799,0.0,1.0,113,24.0002,18.835035,0,3262,5.1651636,45558.819,20.746716,18.8350364,208.29089
20.737354,45.579541,0.0,1.0,113,24.0002,18.832836,0,3263,5.1673619,45579.561,20.737354,18.8328381,208.29089
20.731427,45.600275,0.0,1.0,113,24.0002,18.830127,0,3264,5.1700702,45600.295,20.731427,18.8301298,208.29089
20.728652,45.621004,0.0,1.0,113,24.0002,18.827159,0,3265,5.1730379,45621.025,20.728652,18.8271621,208.29089
20.72839,45.641733,0.0,1.0,113,24.0002,18.824114,0,3266,5.1760834,45641.754,20.72839,18.8241166,208.29089
20.730686,45.662462,0.0,1.0,113,24.0002,18.821177,0,3267,5.1790205,45662.483,20.730686,18.8211795,208.29089
20.731678,45.683193,0.0,1.0,113,24.0002,18.818537,0,3268,5.1816602,45683.214,20.731678,18.8185398,208.29089
20.741137,45.703929,0.0,1.0,113,24.0002,18.816333,0,3269,5.1838651,45703.95,20.741137,18.8163349,208.29089
20.748902,45.724674,0.0,1.0,113,24.0002,18.814762,0,3270,5.1854365,45724.695,20.748902,18.8147635,208.29089
20.752891,45.745425,0.0,1.0,113,24.0002,18.813478,0,3271,5.1867208,45745.446,20.752891,18.8134792,208.29089
20.754235,45.766179,0.0,0.99999349,113,24.0002,18.812314,0,3272,5.1878847,45766.2,20.754235,18.8123153,208.29089
20.500361,45.786912,0.0,0.0,113,24.0002,18.818915,0,3273,5.1812997,45786.933,20.500361,18.8189003,208.29089
16.89544,45.805969,0.24230852,0.0,113,24.0002,18.819368,0,3274,5.180833,45805.986,16.89544,18.819367,208.29089
15.159188,45.821745,0.000598094,0.0,113,24.0002,18.820885,0,3275,5.1793162,45821.76,15.159188,18.8208838,208.29089
14.660047,45.836606,0.0,0.069758037,113,24.0002,18.820121,0,3276,5.1800759,45836.621,14.660047,18.8201241,208.29089
14.668366,45.851261,0.0,0.087654237,113,24.0002,18.817857,0,3277,5.1823414,45851.275,14.668366,18.8178586,208.29089
14.789322,45.865968,0.0,0.12232104,113,24.0002,18.814446,0,3278,5.1857485,45865.982,14.789322,18.8144515,208.29089
15.541165,45.881051,0.0,0.24118932,113,24.0002,18.804303,0,3279,5.1958817,45881.066,15.541165,18.8043183,208.29089
17.360737,45.897431,0.0,0.37448331,113,24.0002,18.786124,0,3280,5.2140594,45897.448,17.360737,18.7861406,208.29089
19.292637,45.915776,0.0,0.81416646,113,24.0002,18.770026,0,3281,5.2301585,45915.795,19.292637,18.7700415,208.29089
20.746821,45.935917,0.0,1.0,113,24.0002,18.765291,0,3282,5.2349173,45935.938,20.746821,18.7652827,208.29089
20.750787,45.956668,0.0,1.0,113,24.0002,18.765702,0,3283,5.234497,45956.688,20.750787,18.765703,208.29089
20.749558,45.977418,0.0,1.0,113,24.0002,18.76477,0,3284,5.2354281,45977.439,20.749558,18.7647719,208.29089
20.74936,45.998168,0.0,1.0,113,24.0002,18.763584,0,3285,5.2366142,45998.189,20.74936,18.7635858,208.29089
20.746894,46.018916,0.0,1.0,113,24.0002,18.762149,0,3286,5.2380496,46018.937,20.746894,18.7621504,208.29089
20.742114,46.039661,0.0,1.0,113,24.0002,18.760343,0,3287,5.2398548,46039.682,20.742114,18.7603452,208.29089
20.736524,46.0604,0.0,0.91637054,113,24.0002,18.758122,0,3288,5.2420752,46060.421,20.736524,18.7581248,208.29089
20.733267,46.081135,0.0,0.69878932,113,24.0002,18.755697,0,3289,5.2445007,46081.156,20.733267,18.7556993,208.29089
20.731318,46.101867,0.0,0.52210571,113,24.0002,18.753187,0,3290,5.2470107,46101.888,20.731318,18.7531893,208.29089
20.730162,46.122598,0.0,0.39568231,113,24.0002,18.750601,0,3291,5.2495964,46122.618,20.730162,18.7506036,208.29089
20.73455,46.14333,0.0,0.26429485,113,24.0002,18.74833,0,3292,5.2518678,46143.351,20.73455,18.7483322,208.29089
20.739011,46.164067,0.0,0.12862189,113,24.0002,18.74635,0,3293,5.253848,46164.087,20.739011,18.746352,208.29089
20.104829,46.18464,0.0,0.05266057,113,24.0002,18.751612,0,3294,5.2477337,46184.66,20.104829,18.7524663,208.29089
19.196673,46.204311,0.14680416,0.0,113,24.0002,18.754335,0,3295,5.2458666,46204.33,19.196673,18.7543334,208.29089
16.001436,46.221932,0.18549193,0.0,113,24.0002,18.755966,0,3296,5.244235,46221.948,16.001436,18.755965,208.29089
13.753784,46.23668,0.067215537,0.0,113,24.0002,18.757331,0,3297,5.2428705,46236.693,13.753784,18.7573295,208.29089
12.939212,46.249956,0.0,0.0,113,24.0002,18.758628,0,3298,5.2415731,46249.969,12.939212,18.7586269,208.29089
13.283815,46.262927,0.0,0.17677198,113,24.0002,18.751226,0,3299,5.2489672,46262.94,13.283815,18.7512328,208.29089
14.603971,46.276766,0.0,0.32402033,113,24.0002,18.737456,0,3300,5.2627228,46276.781,14.603971,18.7374772,208.29089
16.809589,46.292471,0.0,0.53776637,114,24.0002,18.719518,0,3301,5.2806654,46292.488,16.809589,18.7195346,208.29089
18.754249,46.310277,0.0,1.0,114,24.0002,18.70355,0,3302,5.2966346,46310.296,18.754249,18.7035654,208.29089
20.432988,46.329889,0.0,1.0,114,24.0002,18.687865,0,3303,5.3123191,46329.91,20.432988,18.6878809,208.29089
20.72366,46.350581,0.0,1.0,114,24.0002,18.691741,0,3304,5.3084567,46350.601,20.72366,18.6917433,208.29089
20.71914,46.371302,0.0,1.0,114,24.0002,18.688962,0,3305,5.3112346,46371.323,20.71914,18.6889654,208.29089
